연번,주소,기하구조,관리부서
1,제주특별자치도 제주시 애월읍 광령리 11-7,4지형,교통정보센터
2,제주특별자치도 제주시 해안동 2107-1,4지형,교통정보센터
3,제주특별자치도 제주시 해안동 2138-5,3지형,교통정보센터
4,제주특별자치도 제주시 해안동 2145-1,3지형,교통정보센터
5,제주특별자치도 제주시 노형동 3278-24,4지형,교통정보센터
6,제주특별자치도 제주시 노형동 3154-8,5지형,교통정보센터
7,제주특별자치도 제주시 노형동 2596-2,4지형,교통정보센터
8,제주특별자치도 제주시 노형동 3805-6,단일로,교통정보센터
9,제주특별자치도 제주시 노형동 3794-3,4지형,교통정보센터
10,제주특별자치도 제주시 노형동 3780-7,4지형,교통정보센터
11,제주특별자치도 제주시 노형동 918,5지형,교통정보센터
12,제주특별자치도 제주시 노형동 906,4지형,교통정보센터
13,제주특별자치도 제주시 연동 250-8,5지형,교통정보센터
14,제주특별자치도 제주시 연동 270-2,4지형,교통정보센터
15,제주특별자치도 제주시 연동 1911-11,4지형,교통정보센터
16,제주특별자치도 제주시 연동 2518-1,단일로,교통정보센터
17,제주특별자치도 제주시 용담이동 1767-1,4지형,교통정보센터
18,제주특별자치도 제주시 용담이동 2786,단일로,교통정보센터
19,제주특별자치도 제주시 용담이동 2754-3,5지형,교통정보센터
20,제주특별자치도 제주시 오라삼동 2401-35,단일로,교통정보센터
21,제주특별자치도 제주시 오라일동 2440,4지형,교통정보센터
22,제주특별자치도 제주시 오라일동 2441-1,단일로,교통정보센터
23,제주특별자치도 제주시 삼도일동 507-4,4지형,교통정보센터
24,제주특별자치도 제주시 삼도일동 534-19,4지형,교통정보센터
25,제주특별자치도 제주시 삼도일동 579-2,단일로,교통정보센터
26,제주특별자치도 제주시 삼도일동 584-3,3지형,교통정보센터
27,제주특별자치도 제주시 이도일동 1775-7,단일로,교통정보센터
28,제주특별자치도 제주시 이도일동 1252-4,4지형,교통정보센터
29,제주특별자치도 제주시 이도이동 1168-12,단일로,교통정보센터
30,제주특별자치도 제주시 이도이동 314-4,4지형,교통정보센터
31,제주특별자치도 제주시 일도이동 365-16,단일로,교통정보센터
32,제주특별자치도 제주시 일도이동 358-7,4지형,교통정보센터
33,제주특별자치도 제주시 일도이동 371-14,단일로,교통정보센터
34,제주특별자치도 제주시 일도이동 323-20,4지형,교통정보센터
35,제주특별자치도 제주시 건입동 596-4,4지형,교통정보센터
36,제주특별자치도 제주시 건입동 256-7,3지형,교통정보센터
37,제주특별자치도 제주시 화북이동 4949,3지형,교통정보센터
38,제주특별자치도 제주시 화북일동 4700-1,3지형,교통정보센터
39,제주특별자치도 제주시 화북일동 4663-5,4지형,교통정보센터
40,제주특별자치도 제주시 화북일동 3988-1,3지형,교통정보센터
41,제주특별자치도 제주시 화북일동 2030-1,4지형,교통정보센터
42,제주특별자치도 제주시 화북일동 2055-1,3지형,교통정보센터
43,제주특별자치도 제주시 화북일동 1230,3지형,교통정보센터
