가맹점명,가맹점 주소,가맹점 업종,캐시백 인센티브 가맹점 여부,QR 가맹점 여부,2026년 아동건강체험활동비 사용 여부
동신금속,제주특별자치도 제주시 오남로 272 1층,건축/철물,Y,N,N
만조,제주특별자치도 서귀포시 남원읍 태위로 87 1층 만조,음식점/식음료업,Y,N,N
여기닭,제주특별자치도 제주시 남성로 51 1층,음식점/식음료업,Y,N,N
호식이두마리치킨안덕점,제주특별자치도 서귀포시 안덕면 일주서로 1449 1층,음식점/식음료업,Y,N,N
삼성영어셀레나남광프라임영어교습소,제주특별자치도 제주시 남광로4길 15 BO2호 삼성영어셀레나남광프라임,외국어/언어,Y,N,N
풍전스크린골프,제주특별자치도 제주시 연동8길 30 대경빌딩  2층,문화/체육,Y,N,N
나도수산,제주특별자치도 제주시 동광로21길 13-5 1층,식자재/유통,Y,N,N
우리집새움,제주특별자치도 제주시 서회천서1길 11-1 106-301,건축/철물,Y,N,N
카페광령올레,제주특별자치도 제주시 애월읍 광성로 295 1층,음식점/식음료업,Y,N,N
우헤어,제주특별자치도 제주시 고마로 71 2층 우헤어,생활/리빙,Y,N,N
채채키친,제주특별자치도 서귀포시 남원읍 남원체육관로 251 1층,음식점/식음료업,Y,N,N
천지연호텔,제주특별자치도 서귀포시 솔동산로 40 천지연호텔,여행/숙박,Y,N,N
송이축산정육식당삼양점,제주특별자치도 제주시 지석4길 7 1층,음식점/식음료업,Y,N,N
와랑와랑 제대후문본점,제주특별자치도 제주시 전농로 30 와랑와랑 제대후문본점,음식점/식음료업,Y,N,N
씨앤비 호텔 코지앤부띠끄,제주특별자치도 서귀포시 중문관광로 288 씨앤비 호텔,여행/숙박,Y,N,N
아라부부한의원,제주특별자치도 제주시 중앙로 543 2층,보건/복지,Y,N,N
차포차,제주특별자치도 제주시 신대로16길 41 1층,음식점/식음료업,Y,N,N
영희김밥,제주특별자치도 서귀포시 516로 176 (토평동),음식점/식음료업,Y,N,N
제주야렌트카 주식회사,제주특별자치도 제주시 제성1길 75 1호,자동차/주유,Y,N,N
(주)풀베개,제주특별자치도 서귀포시 안덕면 화순서서로 492-4 .,음식점/식음료업,Y,N,N
삼미흑돼지 중문점,제주특별자치도 서귀포시 색달중앙로 33 1층,음식점/식음료업,Y,Y,N
슬로리 우드워킹 스튜디오,제주특별자치도 제주시 애월읍 유수암로1길 39-15 슬로리 목공방 ,가구/인테리어,Y,Y,N
해피하우스,제주특별자치도 제주시 조천읍 신조로 27 102동101호,기타,Y,Y,N
주식회사 엠제이비,제주특별자치도 제주시 천수로 68 113동106호 ,기타,Y,Y,N
테니스월드,제주특별자치도 제주시 애월읍 광성로 213 실외 테니스코트,문화/체육,Y,Y,N
통큰왕만두화북점,제주특별자치도 제주시 진동로5길 18-8 통큰왕만두화북점,음식점/식음료업,Y,Y,N
미크나 MIKNAH,제주특별자치도 서귀포시 표선면 표선동서로 295 단독,생활/리빙,Y,Y,N
찬이네 김밥,제주특별자치도 서귀포시 중앙로72번길 8-1 1층,음식점/식음료업,Y,Y,N
돈해랑,제주특별자치도 제주시 월대5길 6 1층,음식점/식음료업,Y,Y,N
협재옹포리게스트하우스,제주특별자치도 제주시 한림읍 옹포리 371-1 협재 옹포리 게스트하우스,여행/숙박,Y,Y,N
